ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID State,State,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
13,Education,1310,Special Education,131018,Education of Individuals in Middle School Special Education Programs,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,education-of-individuals-in-middle-school-special-education-programs,"Kings County, NY",05000US36047,kings-county-ny
52,Business,5220,Construction Management,522001,Construction Management,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,4,construction-management-6,"Kings County, NY",05000US36047,kings-county-ny
45,Social Sciences,4510,Political Science & Government,451001,General Political Science & Government,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,51,general-political-science-government,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1312,Teacher Education at Specific Levels & Methods,131202,Elementary Education & Teaching,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,122,elementary-education-teaching,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1312,Teacher Education at Specific Levels & Methods,131203,Middle School Education & Teaching,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,middle-school-education-teaching,"Kings County, NY",05000US36047,kings-county-ny
45,Social Sciences,4506,Economics,450601,General Economics,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,48,general-economics,"Kings County, NY",05000US36047,kings-county-ny
45,Social Sciences,4503,Archeology,450301,Archeology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,archeology-6,"Kings County, NY",05000US36047,kings-county-ny
45,Social Sciences,4502,Anthropology,450201,Anthropology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,13,anthropology-6,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1312,Teacher Education at Specific Levels & Methods,131210,Early Childhood Education & Teaching,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,87,early-childhood-education-teaching,"Kings County, NY",05000US36047,kings-county-ny
45,Social Sciences,4501,General Social Sciences,450101,General Social Sciences,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,6,general-social-sciences-6,"Kings County, NY",05000US36047,kings-county-ny
44,Public Administration and Social Service,4407,Social Work,440701,Social Work,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,67,social-work-6,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131302,Art Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,9,art-teacher-education,"Kings County, NY",05000US36047,kings-county-ny
44,Public Administration and Social Service,4404,Public Administration,440401,Public Administration,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,21,public-administration-6,"Kings County, NY",05000US36047,kings-county-ny
44,Public Administration and Social Service,4400,General Human Services,440000,General Human Services,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,131,general-human-services-6,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131305,English & Language Arts Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,19,english-language-arts-teacher-education,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131306,Foreign Language Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,foreign-language-teacher-education,"Kings County, NY",05000US36047,kings-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131307,Health Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,health-teacher-education,"Kings County, NY",05000US36047,kings-county-ny
