County,Year,State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Employed_age16+_civilian,Employed_male,Financial_managers_male,Financial_specialists_male,Accountants_&_auditors_male,Computer_male,Software_devops_male,Database_&_system_male,Employed_female,Financial_managers_female,Financial_specialists_female,Accountants_&_auditors_female,Computer_female,Software_devops_female,Database_&_system_female,Information_age16+_total,Finance_and_insurance,Real_estate
061,2016,36,"New York County, New York",1643734.0,37.1,77559.0,68126.0,275840.0,16.78130403094418,670593.0,360551.0,13715.0,23648.0,6506.0,21402.0,10396.0,867.0,310042.0,5834.0,13293.0,6755.0,7340.0,1465.0,968.0,101820.0,151280.0,61718.0
081,2016,36,"Queens County, New York",2333054.0,38.3,62207.0,28609.0,303895.0,13.025630782656552,844355.0,478943.0,3827.0,12805.0,7799.0,18655.0,7991.0,2091.0,365412.0,4431.0,13697.0,9010.0,5565.0,2150.0,287.0,61940.0,68988.0,46962.0
085,2016,36,"Richmond County, New York",476015.0,39.7,77197.0,33559.0,62239.0,13.075008140499774,159593.0,90593.0,774.0,3704.0,1950.0,3548.0,1309.0,242.0,69000.0,1025.0,1802.0,1265.0,932.0,355.0,0.0,84643.0,76780.0,60699.0
005,2017,36,"Bronx County, New York",1471160.0,34.0,37397.0,20497.0,402384.0,27.351477745452566,418442.0,220820.0,1222.0,2950.0,2124.0,3142.0,886.0,525.0,197622.0,1560.0,3983.0,2820.0,669.0,256.0,52.0,56132.0,51252.0,42358.0
047,2017,36,"Kings County, New York",2648771.0,35.2,56942.0,32274.0,519803.0,19.624308783205493,892721.0,465883.0,4861.0,11608.0,6516.0,24118.0,12181.0,1840.0,426838.0,4880.0,11816.0,8246.0,7172.0,3866.0,472.0,76848.0,83993.0,50661.0
061,2017,36,"New York County, New York",1664727.0,37.3,85071.0,72057.0,262482.0,15.767269948766375,680034.0,368539.0,12842.0,28096.0,9372.0,19746.0,10229.0,434.0,311495.0,6038.0,10637.0,4513.0,6463.0,1592.0,280.0,81778.0,152116.0,67826.0
081,2017,36,"Queens County, New York",2358582.0,38.7,64509.0,29857.0,282514.0,11.978129231885939,865134.0,492556.0,3285.0,14777.0,9616.0,21811.0,9778.0,2072.0,372578.0,4770.0,13611.0,10803.0,3542.0,1731.0,189.0,66725.0,71971.0,51587.0
085,2017,36,"Richmond County, New York",479458.0,40.4,79201.0,35205.0,55779.0,11.633761455643665,165503.0,94401.0,1157.0,3274.0,1512.0,4150.0,2311.0,179.0,71102.0,1060.0,2378.0,1715.0,1030.0,442.0,0.0,81082.0,86126.0,61064.0
061,2018,36,"New York County, New York",1628701.0,37.6,85066.0,74911.0,245487.0,15.072563963551321,674929.0,354977.0,13378.0,22645.0,6286.0,25158.0,13790.0,1363.0,319952.0,7785.0,10456.0,5911.0,8582.0,2287.0,788.0,102490.0,155369.0,75746.0
047,2018,36,"Kings County, New York",2582830.0,35.4,61220.0,34709.0,485693.0,18.80468323505612,882471.0,459919.0,3503.0,11139.0,6925.0,26595.0,13841.0,1987.0,422552.0,2981.0,13903.0,10014.0,7838.0,3085.0,898.0,81791.0,95951.0,55517.0
081,2018,36,"Queens County, New York",2278906.0,39.2,69320.0,31866.0,258221.0,11.330919309528344,852111.0,476331.0,3902.0,11494.0,6810.0,16820.0,6919.0,1420.0,375780.0,3562.0,13281.0,8501.0,4410.0,1021.0,253.0,70033.0,75417.0,53848.0
005,2018,36,"Bronx County, New York",1432132.0,34.4,38467.0,21712.0,383486.0,26.77728030656392,407073.0,220306.0,1075.0,2336.0,956.0,5124.0,1655.0,489.0,186767.0,1050.0,3640.0,1985.0,1150.0,229.0,42.0,48870.0,56600.0,44457.0
085,2018,36,"Richmond County, New York",476179.0,40.1,82166.0,35966.0,53741.0,11.285881989755953,162368.0,90216.0,1886.0,3342.0,1986.0,4083.0,2118.0,78.0,72152.0,936.0,3495.0,2547.0,861.0,269.0,51.0,66497.0,90633.0,56397.0
