ID CIP2,CIP2,ID CIP4,CIP4,ID CIP6,CIP6,ID Year,Year,ID Nation,Nation,ID State,State,ID Degree,Degree,Completions,Slug CIP6,Geography,ID Geography,Slug Geography
45,Social Sciences,4506,Economics,450601,General Economics,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,197,general-economics,"Bronx County, NY",05000US36005,bronx-county-ny
45,Social Sciences,4502,Anthropology,450201,Anthropology,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,67,anthropology-6,"Bronx County, NY",05000US36005,bronx-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131307,Health Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,health-teacher-education,"Bronx County, NY",05000US36005,bronx-county-ny
45,Social Sciences,4501,General Social Sciences,450101,General Social Sciences,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,general-social-sciences-6,"Bronx County, NY",05000US36005,bronx-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131311,Mathematics Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,mathematics-teacher-education,"Bronx County, NY",05000US36005,bronx-county-ny
44,Public Administration and Social Service,4407,Social Work,440701,Social Work,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,158,social-work-6,"Bronx County, NY",05000US36005,bronx-county-ny
44,Public Administration and Social Service,4400,General Human Services,440000,General Human Services,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,4,general-human-services-6,"Bronx County, NY",05000US36005,bronx-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131314,Physical Education Teaching & Coaching,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,18,physical-education-teaching-coaching,"Bronx County, NY",05000US36005,bronx-county-ny
43,Protective Services,4301,Criminal Justice & Corrections,430103,Criminal Justice - Law Enforcement Administration,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,262,criminal-justice-law-enforcement-administration,"Bronx County, NY",05000US36005,bronx-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131316,General Science Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,6,general-science-teacher-education,"Bronx County, NY",05000US36005,bronx-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131322,Biology Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,biology-teacher-education,"Bronx County, NY",05000US36005,bronx-county-ny
13,Education,1313,Teacher Education for Specific Subject Areas,131325,French Language Teacher Education,2017,2017,01000US,United States,04000US36,New York,5,Bachelors Degree,0,french-language-teacher-education,"Bronx County, NY",05000US36005,bronx-county-ny
